scan	precursor.mass	retention.time	motif	probability	overlap	motifdb_url	motifdb_annotation
5788	151.0754	227.732	gnps_motif_40.m2m	0.12639467262871076	0.8933955467314302	b'http://ms2lda.org/motifdb/motif/151066'	b'CO loss - indicative for presence of ketone/aldehyde/lactone group (C=O)'
5122	151.0754	215.224	gnps_motif_40.m2m	0.10340235506654001	0.8933955467314302	b'http://ms2lda.org/motifdb/motif/151066'	b'CO loss - indicative for presence of ketone/aldehyde/lactone group (C=O)'
598	151.0754	92.035	gnps_motif_40.m2m	0.18304934013928584	0.8933955467314302	b'http://ms2lda.org/motifdb/motif/151066'	b'CO loss - indicative for presence of ketone/aldehyde/lactone group (C=O)'
1334	151.0754	140.119	gnps_motif_40.m2m	0.22893226035510533	0.8933955467314302	b'http://ms2lda.org/motifdb/motif/151066'	b'CO loss - indicative for presence of ketone/aldehyde/lactone group (C=O)'
649	151.0754	97.4	mb_motif_150.m2m	0.1215003828882366	0.380488214735679	b'http://ms2lda.org/motifdb/motif/151186'	b'Loss of acetyl group (C2H2O) - indicative for presence of N/O acetylation'
649	151.0754	97.4	gnps_motif_40.m2m	0.11180547151675811	0.8933955467314302	b'http://ms2lda.org/motifdb/motif/151066'	b'CO loss - indicative for presence of ketone/aldehyde/lactone group (C=O)'
2884	151.0755	171.827	gnps_motif_40.m2m	0.20142513664913295	0.8933955467314302	b'http://ms2lda.org/motifdb/motif/151066'	b'CO loss - indicative for presence of ketone/aldehyde/lactone group (C=O)'
1001	151.0755	128.11	gnps_motif_40.m2m	0.22180814496918236	0.8933955467314302	b'http://ms2lda.org/motifdb/motif/151066'	b'CO loss - indicative for presence of ketone/aldehyde/lactone group (C=O)'
4286	151.0755	200.842	gnps_motif_40.m2m	0.18656825269950378	0.8933955467314302	b'http://ms2lda.org/motifdb/motif/151066'	b'CO loss - indicative for presence of ketone/aldehyde/lactone group (C=O)'
316	152.0707	44.335	mb_motif_150.m2m	0.14982889058374288	0.380488214735679	b'http://ms2lda.org/motifdb/motif/151186'	b'Loss of acetyl group (C2H2O) - indicative for presence of N/O acetylation'
316	152.0707	44.335	urine_mass2motif_97.m2m	0.23303244038381188	0.38344139719165027	b'http://ms2lda.org/motifdb/motif/150888'	b'Paracetamol related'
1640	152.1071	148.212	urine_mass2motif_229.m2m	0.1359296032331755	0.649166946923511	b'http://ms2lda.org/motifdb/motif/150931'	b'Trimethylamine related'
1443	153.0548	144.294	mb_motif_150.m2m	0.1537753264045621	0.41992851041240886	b'http://ms2lda.org/motifdb/motif/151186'	b'Loss of acetyl group (C2H2O) - indicative for presence of N/O acetylation'
1443	153.0548	144.294	gnps_motif_40.m2m	0.10188394608008491	0.8933955467314302	b'http://ms2lda.org/motifdb/motif/151066'	b'CO loss - indicative for presence of ketone/aldehyde/lactone group (C=O)'
3134	153.0549	181.387	urine_mass2motif_90.m2m	0.17647778584212342	0.3548853808377432	b'http://ms2lda.org/motifdb/motif/150989'	b'N-acetylneuramic acid and hydroxybenzoyl related'
6423	153.091	240.59	gnps_motif_49.m2m	0.10400591193387412	0.9626147740673437	b'http://ms2lda.org/motifdb/motif/151019'	b'Loss possibly indicative of carboxylic acid group with 1-carbon attached.'
9414	153.0911	308.061	gnps_motif_49.m2m	0.1554718899753701	0.9626147740673437	b'http://ms2lda.org/motifdb/motif/151019'	b'Loss possibly indicative of carboxylic acid group with 1-carbon attached.'
1100	153.0911	133.687	mb_motif_10.m2m	0.10047326695771933	0.347979558331819	b'http://ms2lda.org/motifdb/motif/151165'	b'Loss of C3H6 - indicative for the presence of an isopropyl group'
