CLUSTERID1	interact	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	SharedMotifs	topX
10677	cosine	11058	-41.015	10677.0	0.9543	10677.0	1		
10905	cosine	11155	149.107	10905.0	0.9511	10905.0	1		
11238	cosine	11658	-75.07	11238.0	0.9602	11238.0	1		
10827	cosine	11238	237.16	10827.0	0.9754	10827.0	1		
10677	cosine	10905	-146.095	10677.0	0.955	10677.0	1		
11333	cosine	12093	74.036	11333.0	0.941	11333.0	1		
10905	cosine	11851	223.142	10905.0	0.9683	10905.0	1		
11760	cosine	11920	88.053	11760.0	0.9763	11760.0	1	urine_mass2motif_159.m2m	
12407	cosine	12612	44.024	12407.0	0.9536	12407.0	1	urine_mass2motif_159.m2m	
10827	cosine	11061	132.08	10827.0	0.9676	10827.0	1		
10621	cosine	11920	-86.07	10621.0	0.9686	10621.0	1		
10905	cosine	10928	295.2	10905.0	0.9511	10905.0	1		
11273	cosine	12163	179.113	11273.0	0.9551	11273.0	1	urine_mass2motif_159.m2m,gnps_motif_15.m2m	
11153	cosine	11426	149.104	11153.0	0.941	11153.0	1		
10754	cosine	11836	-235.177	10754.0	0.9667	10754.0	1	gnps_motif_15.m2m	
10674	cosine	11551	-116.083	10674.0	0.9691	10674.0	1		
10747	cosine	12203	165.101	10747.0	0.9468	10747.0	1		
10928	cosine	11426	-14.017	10928.0	0.9648	10928.0	1		
11058	cosine	11361	-119.099	11058.0	0.9679	11058.0	1		
10855	cosine	11660	-116.083	10855.0	0.9664	10855.0	1		
11061	cosine	11238	105.08	11061.0	0.9845	11061.0	1		
11061	cosine	11920	-72.057	11061.0	0.9659	11061.0	1	urine_mass2motif_159.m2m	
10504	cosine	10674	88.052	10504.0	0.9438	10504.0	1		
10341	cosine	11233	-72.058	10341.0	0.9614	10341.0	1	gnps_motif_15.m2m	
10928	cosine	11118	88.052	10928.0	0.9663	10928.0	1		
11061	cosine	12407	-86.074	11061.0	0.961	11061.0	1	urine_mass2motif_159.m2m	
11554	cosine	12407	-89.084	11554.0	0.9488	11554.0	1		
11361	cosine	12028	74.042	11361.0	0.9586	11361.0	1	urine_mass2motif_159.m2m	
10855	cosine	11017	88.052	10855.0	0.9555	10855.0	1		
11555	cosine	11836	-102.064	11555.0	0.9604	11555.0	1	urine_mass2motif_159.m2m,gnps_motif_15.m2m	
11755	cosine	12730	-89.085	11755.0	0.9298	11755.0	1		
11234	cosine	11336	61.055	11234.0	0.9095	11234.0	1		
10687	cosine	10747	26.998	10687.0	0.9475	10687.0	1	gnps_motif_15.m2m	
10404	cosine	11233	-116.083	10404.0	0.9538	10404.0	1		
10827	cosine	12169	148.074	10827.0	0.9899	10827.0	1		
11920	cosine	12169	88.052	11920.0	0.9671	11920.0	1	urine_mass2motif_159.m2m	
11058	cosine	11851	118.062	11058.0	0.9789	11058.0	1	gnps_motif_15.m2m	
10504	cosine	11211	74.037	10504.0	0.9485	10504.0	1		
11755	cosine	12372	30.009	11755.0	0.9341	11755.0	1		
11234	cosine	11444	-129.067	11234.0	0.9268	11234.0	1	gnps_motif_15.m2m	
11238	cosine	12407	-191.154	11238.0	0.974	11238.0	1		
11061	cosine	11760	-160.111	11061.0	0.9524	11061.0	1	urine_mass2motif_159.m2m	
10543	cosine	11836	-86.072	10543.0	0.9707	10543.0	1	gnps_motif_15.m2m	
10928	cosine	11551	30.01	10928.0	0.9574	10928.0	1	gnps_motif_15.m2m	
11658	cosine	11920	-102.068	11658.0	0.9698	11658.0	1	urine_mass2motif_159.m2m	
10747	cosine	11444	-143.082	10747.0	0.9521	10747.0	1	gnps_motif_15.m2m	
11660	cosine	11851	88.052	11660.0	0.9698	11660.0	1	gnps_motif_15.m2m	
12169	cosine	12407	-102.068	12169.0	0.9697	12169.0	1	urine_mass2motif_159.m2m	
11336	cosine	12730	-147.128	11336.0	0.9237	11336.0	1		
10404	cosine	10761	176.105	10404.0	0.9445	10404.0	1		
10341	cosine	10750	-58.042	10341.0	0.9394	10341.0	1		
11361	cosine	11658	132.082	11361.0	0.9631	11361.0	1	urine_mass2motif_159.m2m	
11211	cosine	11851	-204.136	11211.0	0.9744	11211.0	1		
11836	cosine	12169	132.078	11836.0	0.9705	11836.0	1	urine_mass2motif_159.m2m,gnps_motif_15.m2m	
10596	cosine	11851	-174.125	10596.0	0.9726	10596.0	1		
